# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
   14.709683367    1.030261456    1.030261442    1.030261451
   14.749761523    1.035460498    1.035460483    1.035460493
   14.789839679    1.025852189    1.025852175    1.025852185
   14.829917836    1.008512749    1.008512735    1.008512744
   14.869995992    1.006314147    1.006314133    1.006314141
   14.910074148    1.027565199    1.027565185    1.027565192
   14.950152305    1.056730055    1.056730040    1.056730048
   14.990230461    1.074663864    1.074663850    1.074663858
   15.030308617    1.074613879    1.074613864    1.074613874
   15.070386774    1.066051814    1.066051799    1.066051808
   15.110464930    1.075976838    1.075976823    1.075976832
   15.150543086    1.104701535    1.104701520    1.104701529
   15.190621242    1.118752760    1.118752744    1.118752755
   15.230699399    1.115992048    1.115992033    1.115992044
   15.270777555    1.120800254    1.120800238    1.120800249
   15.310855711    1.137319908    1.137319893    1.137319903
   15.350933868    1.146832258    1.146832243    1.146832253
   15.391012024    1.131952098    1.131952083    1.131952094
   15.431090180    1.122389385    1.122389369    1.122389379
   15.471168337    1.148828866    1.148828850    1.148828859
   15.511246493    1.189141177    1.189141162    1.189141169
   15.551324649    1.212198375    1.212198359    1.212198367
   15.591402806    1.213122603    1.213122587    1.213122594
   15.631480962    1.211545541    1.211545525    1.211545533
   15.671559118    1.227214077    1.227214061    1.227214069
   15.711637275    1.262646937    1.262646921    1.262646928
   15.751715431    1.300656415    1.300656399    1.300656406
   15.791793587    1.333486453    1.333486437    1.333486445
   15.831871743    1.345248744    1.345248728    1.345248738
   15.871949900    1.320015829    1.320015812    1.320015824
   15.912028056    1.278046420    1.278046404    1.278046417
   15.952106212    1.261805819    1.261805802    1.261805815
   15.992184369    1.272095983    1.272095967    1.272095979
   16.032262525    1.273061047    1.273061030    1.273061043
   16.072340681    1.233209178    1.233209161    1.233209174
   16.112418838    1.169292760    1.169292744    1.169292756
   16.152496994    1.129538203    1.129538186    1.129538198
   16.192575150    1.130985665    1.130985648    1.130985659
   16.232653307    1.151205444    1.151205427    1.151205439
   16.272731463    1.171845371    1.171845354    1.171845366
   16.312809619    1.181070439    1.181070421    1.181070432
   16.352887776    1.169686067    1.169686049    1.169686059
   16.392965932    1.163453086    1.163453068    1.163453078
   16.433044088    1.184809993    1.184809976    1.184809984
   16.473122244    1.232077085    1.232077067    1.232077074
   16.513200401    1.283868066    1.283868048    1.283868056
   16.553278557    1.312195601    1.312195584    1.312195592
   16.593356713    1.324515276    1.324515258    1.324515267
   16.633434870    1.331267567    1.331267549    1.331267560
   16.673513026    1.323392168    1.323392150    1.323392162
   16.713591182    1.301375125    1.301375107    1.301375120
   16.753669339    1.282899258    1.282899240    1.282899254
   16.793747495    1.277060515    1.277060497    1.277060511
   16.833825651    1.289331754    1.289331736    1.289331749
   16.873903808    1.306314974    1.306314956    1.306314968
   16.913981964    1.311942979    1.311942961    1.311942973
   16.954060120    1.302900942    1.302900924    1.302900936
   16.994138277    1.283017163    1.283017144    1.283017156
   17.034216433    1.268547223    1.268547205    1.268547217
   17.074294589    1.265627511    1.265627492    1.265627503
   17.114372745    1.269602327    1.269602308    1.269602318
   17.154450902    1.268517782    1.268517763    1.268517774
   17.194529058    1.254404919    1.254404900    1.254404911
   17.234607214    1.250139997    1.250139977    1.250139988
   17.274685371    1.273293678    1.273293659    1.273293669
   17.314763527    1.314210448    1.314210428    1.314210439
   17.354841683    1.338276669    1.338276649    1.338276661
   17.394919840    1.331205392    1.331205372    1.331205385
   17.434997996    1.339424267    1.339424247    1.339424258
   17.475076152    1.388707700    1.388707680    1.388707691
   17.515154309    1.450989252    1.450989232    1.450989243
   17.555232465    1.486762545    1.486762525    1.486762536
   17.595310621    1.482409554    1.482409534    1.482409546
   17.635388778    1.459192952    1.459192932    1.459192944
   17.675466934    1.430778693    1.430778673    1.430778686
   17.715545090    1.398503448    1.398503428    1.398503442
   17.755623246    1.376720847    1.376720826    1.376720841
   17.795701403    1.364053374    1.364053354    1.364053367
   17.835779559    1.341662660    1.341662640    1.341662652
   17.875857715    1.323857423    1.323857402    1.323857414
   17.915935872    1.328989619    1.328989598    1.328989610
   17.956014028    1.352411783    1.352411762    1.352411775
   17.996092184    1.388074656    1.388074635    1.388074648
   18.036170341    1.420207626    1.420207605    1.420207617
   18.076248497    1.441735986    1.441735965    1.441735977
   18.116326653    1.473452955    1.473452933    1.473452945
   18.156404810    1.518157093    1.518157071    1.518157084
   18.196482966    1.554736252    1.554736230    1.554736243
   18.236561122    1.561816368    1.561816346    1.561816359
   18.276639279    1.522007274    1.522007252    1.522007267
   18.316717435    1.440231191    1.440231169    1.440231185
   18.356795591    1.358920277    1.358920255    1.358920271
   18.396873747    1.308663439    1.308663417    1.308663433
   18.436951904    1.286258387    1.286258365    1.286258381
   18.477030060    1.268355587    1.268355564    1.268355580
   18.517108216    1.246196644    1.246196621    1.246196637
   18.557186373    1.231507527    1.231507504    1.231507520
   18.597264529    1.239665499    1.239665477    1.239665491
   18.637342685    1.273416991    1.273416968    1.273416982
   18.677420842    1.313433484    1.313433461    1.313433475
   18.717498998    1.342450776    1.342450753    1.342450767
   18.757577154    1.351873224    1.351873200    1.351873214
   18.797655311    1.340573939    1.340573915    1.340573929
   18.837733467    1.319587877    1.319587854    1.319587868
   18.877811623    1.301439661    1.301439637    1.301439651
   18.917889780    1.297446704    1.297446680    1.297446694
   18.957967936    1.297147728    1.297147704    1.297147719
   18.998046092    1.290401065    1.290401041    1.290401057
   19.038124248    1.274343880    1.274343856    1.274343872
   19.078202405    1.227886672    1.227886648    1.227886665
   19.118280561    1.167136376    1.167136352    1.167136370
   19.158358717    1.130852240    1.130852215    1.130852232
   19.198436874    1.131255344    1.131255319    1.131255336
   19.238515030    1.157951375    1.157951350    1.157951366
   19.278593186    1.200052132    1.200052106    1.200052121
   19.318671343    1.234074469    1.234074444    1.234074458
   19.358749499    1.247517121    1.247517095    1.247517111
   19.398827655    1.262546277    1.262546252    1.262546267
   19.438905812    1.280333807    1.280333781    1.280333796
   19.478983968    1.277026260    1.277026235    1.277026251
   19.519062124    1.247005009    1.247004983    1.247005001
   19.559140281    1.206752829    1.206752804    1.206752821
   19.599218437    1.166436344    1.166436318    1.166436336
   19.639296593    1.119514444    1.119514418    1.119514436
   19.679374749    1.069081393    1.069081367    1.069081385
   19.719452906    1.035474449    1.035474422    1.035474439
   19.759531062    1.025972292    1.025972265    1.025972282
   19.799609218    1.026692853    1.026692827    1.026692844
   19.839687375    1.033086636    1.033086609    1.033086626
   19.879765531    1.044980976    1.044980949    1.044980966
   19.919843687    1.061103004    1.061102976    1.061102994
   19.959921844    1.076698883    1.076698856    1.076698874
   20.000000000    1.087776204    1.087776177    1.087776194
