wl	n
12.79	0.369651
12.80	0.370069
12.81	0.370486
12.82	0.370905
12.83	0.371323
12.84	0.371743
12.85	0.372162
12.86	0.372583
12.87	0.373003
12.88	0.373424
12.89	0.373846
12.90	0.374268
12.91	0.374691
12.92	0.375114
12.93	0.375538
12.94	0.375962
12.95	0.376387
12.96	0.376812
12.97	0.377238
12.98	0.377664
12.99	0.378091
13.00	0.378518
13.01	0.378945
13.02	0.379373
13.03	0.379802
13.04	0.380231
13.05	0.380661
13.06	0.381091
13.07	0.381521
13.08	0.381952
13.09	0.382384
13.10	0.382816
13.11	0.383248
13.12	0.383681
13.13	0.384114
13.14	0.384548
13.15	0.384983
13.16	0.385417
13.17	0.385853
13.18	0.386289
13.19	0.386725
13.20	0.387162
13.21	0.387599
13.22	0.388036
13.23	0.388475
13.24	0.388913
13.25	0.389352
13.26	0.389792
13.27	0.390232
13.28	0.390672
13.29	0.391113
13.30	0.391555
13.31	0.391997
13.32	0.392439
13.33	0.392882
13.34	0.393325
13.35	0.393769
13.36	0.394213
13.37	0.394658
13.38	0.395103
13.39	0.395548
13.40	0.395994
13.41	0.396441
13.42	0.396888
13.43	0.397335
13.44	0.397783
13.45	0.398232
13.46	0.398680
13.47	0.399130
13.48	0.399579
13.49	0.400030
13.50	0.400480
13.51	0.400931
13.52	0.401383
13.53	0.401835
13.54	0.402287
13.55	0.402740
13.56	0.403193
13.57	0.403647
13.58	0.404101
13.59	0.404556
13.60	0.405011
13.61	0.405467
13.62	0.405923
13.63	0.406379
13.64	0.406836
13.65	0.407293
13.66	0.407751
13.67	0.408210
13.68	0.408668
13.69	0.409127
13.70	0.409587
13.71	0.410047
13.72	0.410507
13.73	0.410968
13.74	0.411430
13.75	0.411891
13.76	0.412354
13.77	0.412816
13.78	0.413279
13.79	0.413743
13.80	0.414207
13.81	0.414671
13.82	0.415136
13.83	0.415601
13.84	0.416067
13.85	0.416533
13.86	0.417000
13.87	0.417467
13.88	0.417934
13.89	0.418402
13.90	0.418871
13.91	0.419339
13.92	0.419809
13.93	0.420278
13.94	0.420748
13.95	0.421219
13.96	0.421690
13.97	0.422161
13.98	0.422633
13.99	0.423105
14.00	0.423578
14.01	0.424051
14.02	0.424524
14.03	0.424998
14.04	0.425472
14.05	0.425947
14.06	0.426422
14.07	0.426898
14.08	0.427374
14.09	0.427851
14.10	0.428327
14.11	0.428805
14.12	0.429283
14.13	0.429761
14.14	0.430239
14.15	0.430718
14.16	0.431198
14.17	0.431678
14.18	0.432158
14.19	0.432638
14.20	0.433120
14.21	0.433601
14.22	0.434083
14.23	0.434565
14.24	0.435048
14.25	0.435531
14.26	0.436015
14.27	0.436499
14.28	0.436984
14.29	0.437468
14.30	0.437954
14.31	0.438439
14.32	0.438926
14.33	0.439412
14.34	0.439899
14.35	0.440386
14.36	0.440874
14.37	0.441362
14.38	0.441851
14.39	0.442340
14.40	0.442829
14.41	0.443319
14.42	0.443809
14.43	0.444300
14.44	0.444791
14.45	0.445283
14.46	0.445775
14.47	0.446267
14.48	0.446760
14.49	0.447253
14.50	0.447746
14.51	0.448240
14.52	0.448735
14.53	0.449229
14.54	0.449724
14.55	0.450220
14.56	0.450716
14.57	0.451212
14.58	0.451709
14.59	0.452206
14.60	0.452704
14.61	0.453202
14.62	0.453700
14.63	0.454199
14.64	0.454698
14.65	0.455198
14.66	0.455698
14.67	0.456198
14.68	0.456699
14.69	0.457200
14.70	0.457702
14.71	0.458204
14.72	0.458707
14.73	0.459209
14.74	0.459713
14.75	0.460216
14.76	0.460720
14.77	0.461225
14.78	0.461730
14.79	0.462235
14.80	0.462740
14.81	0.463246
14.82	0.463753
14.83	0.464260
14.84	0.464767
14.85	0.465275
14.86	0.465783
14.87	0.466291
14.88	0.466800
14.89	0.467309
14.90	0.467819
14.91	0.468329
14.92	0.468839
14.93	0.469350
14.94	0.469861
14.95	0.470373
14.96	0.470885
14.97	0.471397
14.98	0.471910
14.99	0.472423
15.00	0.472936
15.01	0.473450
15.02	0.473965
15.03	0.474479
15.04	0.474994
15.05	0.475510
15.06	0.476026
15.07	0.476542
15.08	0.477059
15.09	0.477576
15.10	0.478093
15.11	0.478611
15.12	0.479129
15.13	0.479648
15.14	0.480167
15.15	0.480687
15.16	0.481206
15.17	0.481727
15.18	0.482247
15.19	0.482768
15.20	0.483289
15.21	0.483811
15.22	0.484333
15.23	0.484856
15.24	0.485379
15.25	0.485902
15.26	0.486426
15.27	0.486950
15.28	0.487474
15.29	0.487999
15.30	0.488524
15.31	0.489050
15.32	0.489576
15.33	0.490102
15.34	0.490629
15.35	0.491156
15.36	0.491683
15.37	0.492211
15.38	0.492740
15.39	0.493268
15.40	0.493797
15.41	0.494327
15.42	0.494857
15.43	0.495387
15.44	0.495917
15.45	0.496448
15.46	0.496980
15.47	0.497511
15.48	0.498043
15.49	0.498576
15.50	0.499109
15.51	0.499642
15.52	0.500176
15.53	0.500710
15.54	0.501244
15.55	0.501779
15.56	0.502314
15.57	0.502849
15.58	0.503385
15.59	0.503921
15.60	0.504458
15.61	0.504995
15.62	0.505532
15.63	0.506070
15.64	0.506608
15.65	0.507147
15.66	0.507686
15.67	0.508225
15.68	0.508765
15.69	0.509305
15.70	0.509845
15.71	0.510386
15.72	0.510927
15.73	0.511469
15.74	0.512011
15.75	0.512553
15.76	0.513096
15.77	0.513639
15.78	0.514182
15.79	0.514726
15.80	0.515270
15.81	0.515814
15.82	0.516359
15.83	0.516905
15.84	0.517450
15.85	0.517996
15.86	0.518543
15.87	0.519089
15.88	0.519636
15.89	0.520184
15.90	0.520732
15.91	0.521280
15.92	0.521829
15.93	0.522378
15.94	0.522927
15.95	0.523477
15.96	0.524027
15.97	0.524577
15.98	0.525128
15.99	0.525679
16.00	0.526231
16.01	0.526783
16.02	0.527335
16.03	0.527888
16.04	0.528441
16.05	0.528994
16.06	0.529548
16.07	0.530102
16.08	0.530657
16.09	0.531212
16.10	0.531767
16.11	0.532322
16.12	0.532878
16.13	0.533435
16.14	0.533991
16.15	0.534549
16.16	0.535106
16.17	0.535664
16.18	0.536222
16.19	0.536781
16.20	0.537339
16.21	0.537899
16.22	0.538458
16.23	0.539018
16.24	0.539579
16.25	0.540139
16.26	0.540701
16.27	0.541262
16.28	0.541824
16.29	0.542386
16.30	0.542949
16.31	0.543512
16.32	0.544075
16.33	0.544638
16.34	0.545202
16.35	0.545767
16.36	0.546332
16.37	0.546897
16.38	0.547462
16.39	0.548028
16.40	0.548594
16.41	0.549161
16.42	0.549728
16.43	0.550295
16.44	0.550862
16.45	0.551430
16.46	0.551999
16.47	0.552567
16.48	0.553136
16.49	0.553706
16.50	0.554276
16.51	0.554846
16.52	0.555416
16.53	0.555987
16.54	0.556558
16.55	0.557130
16.56	0.557702
16.57	0.558274
16.58	0.558847
16.59	0.559420
16.60	0.559993
16.61	0.560567
16.62	0.561141
16.63	0.561715
16.64	0.562290
16.65	0.562865
16.66	0.563441
16.67	0.564017
16.68	0.564593
16.69	0.565170
16.70	0.565747
16.71	0.566324
16.72	0.566901
16.73	0.567479
16.74	0.568058
16.75	0.568637
16.76	0.569216
16.77	0.569795
16.78	0.570375
16.79	0.570955
16.80	0.571535
16.81	0.572116
16.82	0.572698
16.83	0.573279
16.84	0.573861
16.85	0.574443
16.86	0.575026
16.87	0.575609
16.88	0.576192
16.89	0.576776
16.90	0.577360
16.91	0.577944
16.92	0.578529
16.93	0.579114
16.94	0.579699
16.95	0.580285
16.96	0.580871
16.97	0.581458
16.98	0.582045
16.99	0.582632
17.00	0.583219
17.01	0.583807
17.02	0.584396
17.03	0.584984
17.04	0.585573
17.05	0.586162
17.06	0.586752
17.07	0.587342
17.08	0.587932
17.09	0.588523
17.10	0.589114
17.11	0.589706
17.12	0.590297
17.13	0.590890
17.14	0.591482
17.15	0.592075
17.16	0.592668
17.17	0.593261
17.18	0.593855
17.19	0.594449
17.20	0.595044
17.21	0.595639
17.22	0.596234
17.23	0.596830
17.24	0.597426
17.25	0.598022
17.26	0.598619
17.27	0.599215
17.28	0.599813
17.29	0.600410
17.30	0.601008
17.31	0.601607
17.32	0.602206
17.33	0.602805
17.34	0.603404
17.35	0.604004
17.36	0.604604
17.37	0.605204
17.38	0.605805
17.39	0.606406
17.40	0.607008
17.41	0.607609
17.42	0.608212
17.43	0.608814
17.44	0.609417
17.45	0.610020
17.46	0.610624
17.47	0.611228
17.48	0.611832
17.49	0.612436
17.50	0.613041
17.51	0.613647
17.52	0.614252
17.53	0.614858
17.54	0.615464
17.55	0.616071
17.56	0.616678
17.57	0.617285
17.58	0.617893
17.59	0.618501
17.60	0.619109
17.61	0.619718
17.62	0.620327
17.63	0.620936
17.64	0.621546
17.65	0.622156
17.66	0.622767
17.67	0.623377
17.68	0.623988
17.69	0.624600
17.70	0.625212
17.71	0.625824
17.72	0.626436
17.73	0.627049
17.74	0.627662
17.75	0.628275
17.76	0.628889
17.77	0.629503
17.78	0.630118
17.79	0.630733
17.80	0.631348
17.81	0.631963
17.82	0.632579
17.83	0.633195
17.84	0.633812
17.85	0.634429
17.86	0.635046
17.87	0.635663
17.88	0.636281
17.89	0.636899
17.90	0.637518
17.91	0.638137
17.92	0.638756
17.93	0.639376
17.94	0.639995
17.95	0.640616
17.96	0.641236
17.97	0.641857
17.98	0.642478
17.99	0.643100
18.00	0.643722
18.01	0.644344
18.02	0.644967
18.03	0.645590
18.04	0.646213
18.05	0.646836
18.06	0.647460
18.07	0.648085
18.08	0.648709
18.09	0.649334
18.10	0.649959
18.11	0.650585
18.12	0.651211
18.13	0.651837
18.14	0.652464
18.15	0.653091
18.16	0.653718
18.17	0.654346
18.18	0.654974
18.19	0.655602
18.20	0.656231
18.21	0.656859
18.22	0.657489
18.23	0.658118
18.24	0.658748
18.25	0.659379
18.26	0.660009
18.27	0.660640
18.28	0.661271
18.29	0.661903
18.30	0.662535
18.31	0.663167
