wl	n
3.4130	21.161
3.4247	21.232
3.4364	21.304
3.4483	21.377
3.4602	21.450
3.4722	21.523
3.4843	21.597
3.4965	21.670
3.5088	21.744
3.5211	21.820
3.5336	21.895
3.5461	21.972
3.5587	22.049
3.5714	22.127
3.5842	22.204
3.5971	22.282
3.6101	22.361
3.6232	22.441
3.6364	22.521
3.6496	22.602
3.6630	22.684
3.6765	22.767
3.6900	22.850
3.7037	22.933
3.7175	23.017
3.7313	23.101
3.7453	23.185
3.7594	23.270
3.7736	23.357
3.7879	23.444
3.8023	23.532
3.8168	23.621
3.8314	23.710
3.8462	23.800
3.8610	23.890
3.8760	23.981
3.8911	24.073
3.9063	24.166
3.9216	24.259
3.9370	24.353
3.9526	24.447
3.9683	24.543
3.9841	24.640
4.0000	24.738
4.0161	24.836
4.0323	24.934
4.0486	25.034
4.0650	25.134
4.0816	25.234
4.0984	25.334
4.1152	25.434
4.1322	25.537
4.1494	25.641
4.1667	25.747
4.1841	25.852
4.2017	25.957
4.2194	26.061
4.2373	26.168
4.2553	26.275
4.2735	26.384
4.2918	26.494
4.3103	26.605
4.3290	26.717
4.3478	26.828
4.3668	26.938
4.3860	27.050
4.4053	27.163
4.4248	27.278
4.4444	27.393
4.4643	27.509
4.4843	27.626
4.5045	27.744
4.5249	27.863
4.5455	27.982
4.5662	28.101
4.5872	28.221
4.6083	28.343
4.6296	28.465
4.6512	28.597
4.6729	28.710
4.6948	28.836
4.7170	28.963
4.7393	29.091
4.7619	29.218
4.7847	29.347
4.8077	29.477
4.8309	29.609
4.8544	29.742
4.8780	29.876
4.9020	30.010
4.9261	30.146
4.9505	30.282
4.9751	30.419
5.0000	30.560
5.0251	30.703
5.0761	30.991
5.1020	31.137
5.1020	30.846
5.1282	31.286
5.1546	31.435
5.1813	31.584
5.2083	31.735
5.2356	31.889
5.2632	32.045
5.2910	32.203
5.3191	32.364
5.3476	32.526
5.3763	32.690
5.4054	32.856
5.4348	33.025
5.4645	33.195
5.4945	33.366
5.5249	33.540
5.5556	33.717
5.5866	33.896
5.6180	34.077
5.6497	34.260
5.6818	34.446
5.7143	34.636
5.7471	34.830
5.7803	35.025
5.8140	35.223
5.8480	35.422
5.8824	35.625
5.9172	35.830
5.9524	36.039
5.9880	36.251
6.0241	36.464
6.0606	36.679
6.0976	36.894
6.1350	37.113
6.1728	37.337
6.2112	37.563
6.2500	37.791
6.2893	38.022
6.3291	38.257
6.3694	38.496
6.4103	38.738
6.4516	38.981
6.4935	39.225
6.5359	39.472
6.5789	39.721
6.6225	39.976
6.6667	40.234
6.7114	40.496
6.7568	40.758
6.8027	41.022
6.8493	41.289
6.8966	41.561
6.9444	41.837
6.9930	42.116
7.0423	42.398
7.0922	42.680
7.1429	42.966
7.1942	43.255
7.2464	43.550
7.2993	43.949
7.3529	44.152
7.4074	44.459
7.4627	44.770
7.5188	45.087
7.5758	45.406
7.6336	45.728
7.6923	46.051
7.7519	46.379
7.8125	46.714
7.8740	47.056
7.9365	47.404
8.0000	47.758
8.0645	48.118
8.1301	48.481
8.1967	48.847
8.2645	49.220
8.3333	49.600
8.4034	49.987
8.4746	50.379
8.5470	50.778
8.6207	51.184
8.6957	51.597
8.7719	52.016
8.8496	52.442
8.9286	52.875
9.0090	53.316
9.0909	53.764
9.1743	54.220
9.2593	54.683
9.3458	55.155
9.4340	55.656
9.5238	56.127
9.6154	56.625
9.7087	57.129
9.8039	57.640
9.9010	58.161
10.0000	58.695
10.1010	59.238
10.2041	59.791
10.3093	60.349
10.4167	60.918
10.5263	61.494
10.6383	62.080
10.7527	62.675
10.8696	63.278
10.9890	63.891
11.1111	64.517
11.2360	65.157
11.3636	65.810
11.4943	66.474
11.6279	67.151
11.7647	67.838
11.9048	68.539
12.0482	69.257
12.1951	69.990
12.3457	70.732
12.5000	71.482
12.6582	72.246
12.8205	73.028
12.9870	73.829
13.1579	74.650
13.3333	75.498
13.5135	76.371
13.6986	77.262
13.8889	78.178
14.0845	79.117
14.2857	80.082
14.4928	81.071
14.7059	82.093
14.9254	83.153
15.1515	84.247
15.3846	85.364
15.6250	86.503
15.8730	87.677
16.1290	88.903
16.3934	90.192
16.6667	91.534
16.9492	92.917
17.2414	94.337
17.5439	95.800
17.8571	97.331
18.1818	98.934
18.5185	100.610
18.8679	102.349
19.2308	104.147
19.6078	106.017
20.0000	107.976
20.4082	110.046
20.8333	112.227
21.2766	114.511
21.7391	116.891
22.2222	119.378
22.7273	121.987
23.2558	124.731
23.8095	127.630
24.3902	130.692
25.0000	133.915
25.6410	137.301
26.3158	140.869
27.0270	144.658
27.7778	148.685
28.5714	152.964
29.4118	157.481
30.3030	162.270
31.2500	167.359
32.2581	172.804
33.3333	178.602
34.4828	184.793
35.7143	191.424
37.0370	198.573
38.4615	206.248
40.0000	214.517
41.6667	223.454
43.4783	233.188
45.4545	243.743
47.6190	255.237
50.0000	267.743
52.6316	281.859
55.5556	297.306
