wl	n
3.2487	4.94E-03
3.2569	4.86E-03
3.2651	5.19E-03
3.2733	6.09E-03
3.2899	9.62E-03
3.2983	1.23E-02
3.3067	1.57E-02
3.3152	2.03E-02
3.3237	2.54E-02
3.3322	2.92E-02
3.3494	2.77E-02
3.3581	2.47E-02
3.3668	2.50E-02
3.3756	3.02E-02
3.3844	3.65E-02
3.3933	3.77E-02
3.4022	3.31E-02
3.4111	2.72E-02
3.4292	1.97E-02
3.4383	1.70E-02
3.4474	1.50E-02
3.4566	1.35E-02
3.4658	1.21E-02
3.4751	1.05E-02
3.4845	9.12E-03
3.4939	8.17E-03
3.5033	8.11E-03
3.5128	8.66E-03
3.5224	8.58E-03
3.5320	7.55E-03
3.5416	6.40E-03
3.5513	5.54E-03
3.5611	4.93E-03
3.5709	4.65E-03
3.5807	4.54E-03
3.5907	4.41E-03
3.6006	4.51E-03
3.6107	4.83E-03
3.6207	4.68E-03
3.6309	4.18E-03
3.6411	3.98E-03
3.6513	4.10E-03
3.6617	4.15E-03
3.6720	3.93E-03
3.6825	3.77E-03
3.6930	3.82E-03
3.7035	3.81E-03
3.7141	3.63E-03
3.7248	3.54E-03
3.7355	3.71E-03
3.7463	4.02E-03
3.7572	4.32E-03
3.7681	4.54E-03
3.7791	4.56E-03
3.7901	4.34E-03
3.8013	4.19E-03
3.8124	4.34E-03
3.8237	4.32E-03
3.8350	4.07E-03
3.8464	3.92E-03
3.8578	3.83E-03
3.8693	3.85E-03
3.8809	4.13E-03
3.8926	4.47E-03
3.9043	4.36E-03
3.9161	3.92E-03
3.9280	3.84E-03
3.9399	4.09E-03
3.9519	4.11E-03
3.9640	3.93E-03
3.9762	4.01E-03
3.9884	4.30E-03
4.0007	4.41E-03
4.0131	4.12E-03
4.0255	3.82E-03
4.0381	3.84E-03
4.0507	3.92E-03
4.0634	3.97E-03
4.0762	3.95E-03
4.0890	3.84E-03
4.1020	3.73E-03
4.1150	3.69E-03
4.1281	3.86E-03
4.1413	4.09E-03
4.1546	4.08E-03
4.1679	3.92E-03
4.1814	3.89E-03
4.1949	3.96E-03
4.2085	4.13E-03
4.2222	4.46E-03
4.2360	5.06E-03
4.2499	5.46E-03
4.2639	5.08E-03
4.2780	4.42E-03
4.2921	3.93E-03
4.3064	3.92E-03
4.3208	3.80E-03
4.3352	3.45E-03
4.3498	3.20E-03
4.3644	3.23E-03
4.3791	3.56E-03
4.3940	3.85E-03
4.4089	3.87E-03
4.4240	3.79E-03
4.4391	3.81E-03
4.4544	3.77E-03
4.4697	3.60E-03
4.4852	3.41E-03
4.5008	3.27E-03
4.5165	3.30E-03
4.5323	3.52E-03
4.5482	3.69E-03
4.5642	3.76E-03
4.5803	3.83E-03
4.5965	4.04E-03
4.6129	4.16E-03
4.6294	4.13E-03
4.6460	4.00E-03
4.6627	3.94E-03
4.6795	4.14E-03
4.6965	4.36E-03
4.7136	4.36E-03
4.7308	4.33E-03
4.7481	4.37E-03
4.7655	4.34E-03
4.7831	4.42E-03
4.8008	4.42E-03
4.8187	4.26E-03
4.8367	4.18E-03
4.8548	4.20E-03
4.8730	4.31E-03
4.8914	4.51E-03
4.9100	4.58E-03
4.9286	4.50E-03
4.9474	4.34E-03
4.9664	4.22E-03
4.9855	4.27E-03
5.0047	4.56E-03
5.0241	4.64E-03
5.0437	4.61E-03
5.0634	4.80E-03
5.0832	4.93E-03
5.1033	4.97E-03
5.1234	4.94E-03
5.1438	4.80E-03
5.1643	4.73E-03
5.1849	4.44E-03
5.2057	4.28E-03
5.2267	4.42E-03
5.2479	4.33E-03
5.2692	3.98E-03
5.2907	4.01E-03
5.3124	4.15E-03
5.3343	4.11E-03
5.3563	4.11E-03
5.3785	4.03E-03
5.4009	4.07E-03
5.4235	4.54E-03
5.4463	4.89E-03
5.4693	4.83E-03
5.4925	4.85E-03
5.5159	5.35E-03
5.5394	5.97E-03
5.5632	6.51E-03
5.5872	7.00E-03
5.6114	7.86E-03
5.6358	8.77E-03
5.6604	1.18E-02
5.6852	2.20E-02
5.7103	8.34E-02
5.7355	2.21E-01
5.7610	3.50E-01
5.7867	3.64E-01
5.8127	2.46E-01
5.8389	1.02E-01
5.8653	3.97E-02
5.8919	2.45E-02
5.9188	1.92E-02
5.9460	1.56E-02
5.9734	1.22E-02
6.0011	1.07E-02
6.0290	9.96E-03
6.0571	9.68E-03
6.0856	9.72E-03
6.1143	9.62E-03
6.1433	9.42E-03
6.1725	9.49E-03
6.2020	8.93E-03
6.2319	8.23E-03
6.2620	8.03E-03
6.2924	7.71E-03
6.3231	7.52E-03
6.3541	7.86E-03
6.3854	8.53E-03
6.4170	8.57E-03
6.4489	7.87E-03
6.4811	7.41E-03
6.5137	7.79E-03
6.5466	8.46E-03
6.5798	8.57E-03
6.6134	9.58E-03
6.6473	1.47E-02
6.6816	3.08E-02
6.7162	5.35E-02
6.7512	6.44E-02
6.7865	6.19E-02
6.8223	6.27E-02
6.8583	7.66E-02
6.8948	9.16E-02
6.9317	9.47E-02
6.9690	8.31E-02
7.0066	5.46E-02
7.0447	2.79E-02
7.0832	1.96E-02
7.1221	2.34E-02
7.1615	3.21E-02
7.2013	3.95E-02
7.2415	3.70E-02
7.2822	2.96E-02
7.3233	2.58E-02
7.3649	2.37E-02
7.4070	2.15E-02
7.4496	2.03E-02
7.4926	2.00E-02
7.5362	2.07E-02
7.5803	2.24E-02
7.6249	2.48E-02
7.6700	2.91E-02
7.7156	3.71E-02
7.7618	5.31E-02
7.8086	8.37E-02
7.8559	1.12E-01
7.9038	1.16E-01
7.9523	1.16E-01
8.0014	1.36E-01
8.0511	1.51E-01
8.1014	1.31E-01
8.1524	9.40E-02
8.2040	7.51E-02
8.2562	9.23E-02
8.3091	1.53E-01
8.3628	2.12E-01
8.4171	2.18E-01
8.4721	2.00E-01
8.5278	2.00E-01
8.5843	2.28E-01
8.6415	2.92E-01
8.6995	3.31E-01
8.7583	2.75E-01
8.8179	1.77E-01
8.8783	1.13E-01
8.9395	7.85E-02
9.0016	5.75E-02
9.0645	4.44E-02
9.1284	3.66E-02
9.1931	3.38E-02
9.2588	3.48E-02
9.3254	3.89E-02
9.3930	3.99E-02
9.4615	2.99E-02
9.5311	1.63E-02
9.6017	1.02E-02
9.6733	8.77E-03
9.7461	8.58E-03
9.8199	9.73E-03
9.8949	1.55E-02
9.9710	3.34E-02
10.048	5.75E-02
10.127	6.74E-02
10.207	6.14E-02
10.288	5.68E-02
10.370	5.38E-02
10.453	4.39E-02
10.538	3.29E-02
10.625	2.67E-02
10.713	2.42E-02
10.802	2.41E-02
10.893	2.58E-02
10.985	2.48E-02
11.079	1.96E-02
11.174	1.46E-02
11.272	1.31E-02
11.370	1.34E-02
11.471	1.44E-02
11.573	1.76E-02
11.678	2.35E-02
11.784	3.20E-02
11.892	3.53E-02
12.002	2.89E-02
12.114	2.29E-02
12.229	2.10E-02
12.345	2.09E-02
12.464	1.77E-02
12.585	1.24E-02
12.708	1.08E-02
12.834	1.23E-02
12.962	1.71E-02
13.093	2.81E-02
13.227	4.44E-02
13.363	4.41E-02
13.502	2.36E-02
13.645	1.06E-02
13.790	6.29E-03
13.938	3.83E-03
14.089	3.67E-03
14.244	3.87E-03
14.403	3.93E-03
14.564	3.65E-03
14.730	3.54E-03
14.899	3.29E-03
15.072	1.90E-03
